eventId,subEventName,tags,playerId,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,x1,y1,x2,y2
1,Ground defending duel,"['Free space right', 'Lost', 'Not accurate']",Youn\u00e8s Belhanda,"Portugal - Morocco, 1 - 0",Duel,Morocco,2H,505.6591019999996,Ground defending duel,259478357,81,91,77.0,95.0
2,Foul,[],Youn\u00e8s Belhanda,"Portugal - Morocco, 1 - 0",Foul,Morocco,2H,507.2896039999996,Foul,259478362,77,95,81.0,91.0
7,Touch,[],Kl\u00e9per Laveran Lima Ferreira,"Portugal - Morocco, 1 - 0",Others on the ball,Portugal,2H,530.8861710000001,Touch,259478399,29,80,38.0,75.0
8,High pass,['Accurate'],Kl\u00e9per Laveran Lima Ferreira,"Portugal - Morocco, 1 - 0",Pass,Portugal,2H,533.2255619999996,High pass,259478400,38,75,60.0,4.0
7,Acceleration,['Accurate'],Gon\u00e7alo Manuel Ganchinho Guedes,"Portugal - Morocco, 1 - 0",Others on the ball,Portugal,2H,537.8923729999997,Acceleration,259478402,60,4,74.0,18.0
8,Simple pass,['Not accurate'],Gon\u00e7alo Manuel Ganchinho Guedes,"Portugal - Morocco, 1 - 0",Pass,Portugal,2H,540.5638399999998,Simple pass,259478404,74,18,73.0,7.0
8,Simple pass,['Accurate'],Nordin Amrabat,"Portugal - Morocco, 1 - 0",Pass,Morocco,2H,542.5288989999999,Simple pass,259478372,27,93,31.0,75.0
8,Simple pass,['Accurate'],Youn\u00e8s Belhanda,"Portugal - Morocco, 1 - 0",Pass,Morocco,2H,544.239047,Simple pass,259478375,31,75,26.0,60.0
8,Simple pass,['Accurate'],Manuel Marouan da Costa Trinidade,"Portugal - Morocco, 1 - 0",Pass,Morocco,2H,546.422716,Simple pass,259478376,26,60,27.0,70.0
8,High pass,['Accurate'],Karim El Ahmadi Al Aroos,"Portugal - Morocco, 1 - 0",Pass,Morocco,2H,547.2398199999998,High pass,259478377,27,70,33.0,12.0
8,Simple pass,['Accurate'],Achraf Hakimi Mouh,"Portugal - Morocco, 1 - 0",Pass,Morocco,2H,552.4264389999998,Simple pass,259478379,33,12,22.0,28.0
8,Simple pass,['Accurate'],Manuel Marouan da Costa Trinidade,"Portugal - Morocco, 1 - 0",Pass,Morocco,2H,554.8890570000003,Simple pass,259478380,22,28,32.0,6.0
8,Simple pass,['Not accurate'],Achraf Hakimi Mouh,"Portugal - Morocco, 1 - 0",Pass,Morocco,2H,556.7307979999996,Simple pass,259478382,32,6,31.0,16.0
7,Touch,['Interception'],Jo\u00e3o Filipe Iria Santos Moutinho,"Portugal - Morocco, 1 - 0",Others on the ball,Portugal,2H,558.2505380000002,Touch,259478407,69,84,69.0,85.0
1,Air duel,"['Won', 'Accurate']",Achraf Hakimi Mouh,"Portugal - Morocco, 1 - 0",Duel,Morocco,2H,558.9920439999996,Air duel,259478383,31,15,36.0,13.0
1,Air duel,"['Lost', 'Not accurate']",Jo\u00e3o Filipe Iria Santos Moutinho,"Portugal - Morocco, 1 - 0",Duel,Portugal,2H,559.4819269999998,Air duel,259478409,69,85,64.0,87.0
1,Ground attacking duel,"['Neutral', 'Accurate']",Hakim Ziyech,"Portugal - Morocco, 1 - 0",Duel,Morocco,2H,559.9738459999999,Ground attacking duel,259478384,36,13,33.0,10.0
